market_id,created_at,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_couriers,total_busy_couriers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
2.0,2015-02-13 00:19:48,1467,,1.0,3,3247,3,799,1649,28.0,28.0,28.0,446,826.0
4.0,2015-02-13 00:19:52,1195,salad,2.0,3,2765,3,750,795,19.0,12.0,13.0,251,599.0
4.0,2015-02-13 00:19:56,1260,pizza,5.0,1,3050,1,2150,2150,19.0,12.0,13.0,251,693.0
4.0,2015-02-13 00:20:02,4308,bubble-tea,2.0,1,465,1,345,345,,,,251,630.0
2.0,2015-02-13 00:20:04,2246,sandwich,5.0,2,1000,1,500,500,3.0,0.0,0.0,446,738.0
1.0,2015-02-13 00:20:14,5181,american,1.0,5,825,3,129,239,12.0,11.0,19.0,446,685.0
2.0,2015-02-13 00:20:31,5582,fast,4.0,1,1199,1,1199,1199,24.0,16.0,18.0,251,352.0
2.0,2015-02-13 00:20:34,6740,fast,4.0,4,1353,3,0,355,34.0,34.0,37.0,251,623.0
1.0,2015-02-13 00:20:38,535,pizza,6.0,4,2930,2,545,795,12.0,11.0,19.0,446,386.0
3.0,2015-02-13 00:20:49,131,american,1.0,3,1893,2,199,1495,3.0,2.0,3.0,446,568.0
4.0,2015-02-13 00:20:57,6275,thai,2.0,6,4150,5,200,1200,21.0,12.0,13.0,251,332.0
3.0,2015-02-13 00:21:20,4629,chinese,1.0,2,1320,2,425,895,8.0,7.0,9.0,446,463.0
3.0,2015-02-13 00:21:26,5408,korean,2.0,1,1945,1,1245,1245,2.0,1.0,2.0,251,644.0
4.0,2015-02-13 00:21:41,1858,pizza,1.0,7,10125,3,1050,2575,26.0,17.0,15.0,446,142.0
4.0,2015-02-13 00:21:59,6889,dessert,1.0,3,4985,3,1495,1895,37.0,29.0,31.0,446,481.0
3.0,2015-02-13 00:22:27,5176,japanese,1.0,1,995,1,995,995,8.0,7.0,9.0,446,835.0
2.0,2015-02-13 00:22:53,6145,mexican,3.0,2,2500,1,1250,1250,16.0,15.0,16.0,251,274.0
2.0,2015-02-13 00:22:59,3747,other,3.0,6,3059,6,199,795,16.0,15.0,16.0,251,397.0
3.0,2015-02-13 00:23:10,1249,fast,4.0,4,896,2,149,249,3.0,1.0,1.0,251,523.0
6.0,2015-02-13 00:23:21,3443,american,5.0,1,1970,1,1890,1890,,,,251,474.0
4.0,2015-02-13 00:23:26,6313,dessert,5.0,3,1540,3,295,950,26.0,17.0,15.0,251,234.0
,2015-02-13 00:23:37,5821,mexican,,1,939,1,893,1074,,,,251,714.0
4.0,2015-02-13 00:23:57,4666,catering,3.0,2,1798,1,899,899,37.0,29.0,31.0,251,968.0
6.0,2015-02-13 00:24:00,4133,mexican,1.0,1,1195,1,1195,1195,,,,446,210.0
5.0,2015-02-13 00:24:08,2959,alcohol,2.0,1,780,1,650,650,13.0,7.0,7.0,251,600.0
4.0,2015-02-13 00:24:23,1678,mexican,3.0,2,1485,2,275,975,37.0,29.0,31.0,251,252.0
1.0,2015-02-13 00:24:26,53,dessert,4.0,3,827,1,219,219,16.0,15.0,16.0,251,179.0
3.0,2015-02-13 00:24:28,1752,fast,3.0,1,970,1,780,780,1.0,1.0,3.0,251,369.0
3.0,2015-02-13 00:24:32,6560,catering,1.0,3,3684,3,994,1495,22.0,9.0,11.0,446,208.0
1.0,2015-02-13 00:25:01,415,japanese,3.0,5,5085,4,450,1495,6.0,6.0,4.0,251,941.0
4.0,2015-02-13 00:25:02,6917,vietnamese,5.0,2,1590,2,795,795,41.0,32.0,36.0,251,395.0
3.0,2015-02-13 00:25:08,484,american,5.0,3,1960,3,275,995,2.0,1.0,2.0,251,837.0
2.0,2015-02-13 00:25:17,1595,sandwich,2.0,2,2598,2,1199,1399,34.0,32.0,38.0,251,513.0
1.0,2015-02-13 00:25:20,3175,burger,1.0,6,5250,4,650,1050,17.0,14.0,15.0,446,487.0
2.0,2015-02-13 00:25:28,2045,sandwich,3.0,1,845,1,695,695,17.0,16.0,19.0,251,627.0
3.0,2015-02-13 00:25:34,1931,mexican,3.0,4,2005,4,210,775,,,,251,571.0
2.0,2015-02-13 00:25:41,6576,mexican,5.0,1,2559,1,2499,2499,17.0,16.0,19.0,251,616.0
4.0,2015-02-13 00:25:47,4616,pizza,1.0,2,4895,2,2420,2475,23.0,17.0,17.0,446,295.0
5.0,2015-02-13 00:25:50,5012,chinese,5.0,2,1675,2,475,950,9.0,9.0,9.0,251,336.0
3.0,2015-02-13 00:25:55,6968,chinese,4.0,1,3225,1,3100,3100,10.0,8.0,11.0,251,260.0
5.0,2015-02-13 00:26:01,3279,vietnamese,2.0,4,4590,4,850,1395,9.0,9.0,9.0,251,402.0
6.0,2015-02-13 00:26:07,5045,mexican,3.0,2,1571,1,948,965,,,,251,210.0
1.0,2015-02-13 00:26:13,1469,mexican,5.0,2,1750,2,400,1100,17.0,14.0,15.0,251,445.0
5.0,2015-02-13 00:26:18,2651,,4.0,21,3127,10,0,640,16.0,13.0,17.0,251,851.0
4.0,2015-02-13 00:26:40,4367,salad,2.0,3,3995,2,765,1195,41.0,32.0,36.0,251,899.0
4.0,2015-02-13 00:26:48,6590,pizza,1.0,3,2342,2,92,1000,25.0,16.0,16.0,446,648.0
1.0,2015-02-13 00:26:53,117,japanese,1.0,1,1049,1,1049,1049,12.0,11.0,21.0,446,645.0
5.0,2015-02-13 00:26:57,3028,thai,5.0,5,2585,4,150,995,11.0,7.0,7.0,251,571.0
3.0,2015-02-13 00:26:59,3959,american,5.0,3,3007,3,129,2649,10.0,8.0,11.0,251,131.0
4.0,2015-02-13 00:27:19,1853,mexican,3.0,3,1750,1,550,550,23.0,17.0,17.0,251,536.0
3.0,2015-02-13 00:27:26,219,chinese,4.0,1,950,1,760,760,22.0,10.0,11.0,251,559.0
2.0,2015-02-13 00:27:29,1686,mexican,5.0,1,799,1,799,799,34.0,32.0,38.0,251,694.0
2.0,2015-02-13 00:27:42,1185,dessert,5.0,3,2495,3,550,1195,34.0,32.0,38.0,251,950.0
3.0,2015-02-13 00:27:44,570,burger,2.0,2,1318,1,659,659,22.0,10.0,11.0,251,313.0
4.0,2015-02-13 00:28:08,3629,mexican,1.0,3,1907,3,279,779,16.0,13.0,17.0,446,361.0
1.0,2015-02-13 00:28:09,2203,asian,1.0,1,358,1,358,358,12.0,11.0,21.0,446,732.0
4.0,2015-02-13 00:28:10,6889,dessert,1.0,2,2590,2,795,1795,41.0,32.0,36.0,446,617.0
1.0,2015-02-13 00:28:12,2438,pizza,3.0,2,1298,2,599,699,17.0,14.0,15.0,251,411.0
2.0,2015-02-13 00:28:14,6553,steak,2.0,2,2295,2,850,995,26.0,14.0,17.0,251,729.0
3.0,2015-02-13 00:28:20,6732,steak,1.0,5,6195,4,449,2299,4.0,3.0,4.0,446,683.0
4.0,2015-02-13 00:28:27,3277,dim-sum,3.0,4,4580,3,580,1400,41.0,32.0,36.0,251,743.0
6.0,2015-02-13 00:28:28,4360,pizza,3.0,3,2792,3,459,1459,,,,251,315.0
2.0,2015-02-13 00:28:51,6248,mediterranean,2.0,3,1825,3,400,825,17.0,16.0,19.0,251,597.0
2.0,2015-02-13 00:29:05,3696,pizza,3.0,1,1624,1,1499,1499,26.0,14.0,17.0,251,832.0
4.0,2015-02-13 00:29:18,3937,salad,5.0,2,1705,2,440,1045,41.0,32.0,36.0,251,229.0
3.0,2015-02-13 00:29:20,2576,american,1.0,2,2200,2,1075,1125,10.0,8.0,11.0,446,404.0
3.0,2015-02-13 00:29:22,2569,other,3.0,1,895,1,795,795,10.0,8.0,11.0,251,853.0
4.0,2015-02-13 00:29:25,6830,vietnamese,5.0,2,1715,2,480,880,25.0,16.0,16.0,251,725.0
2.0,2015-02-13 00:29:26,1686,mexican,5.0,3,2397,2,399,999,34.0,32.0,38.0,251,221.0
1.0,2015-02-13 00:29:27,914,pizza,3.0,6,6304,2,879,1159,12.0,11.0,21.0,251,762.0
2.0,2015-02-13 00:29:55,3893,burger,1.0,1,1150,1,1150,1150,26.0,14.0,17.0,446,908.0
4.0,2015-02-13 00:30:04,5426,sandwich,5.0,3,2885,3,797,898,27.0,19.0,19.0,251,841.0
1.0,2015-02-13 00:30:19,5615,american,1.0,5,2045,4,79,819,5.0,4.0,1.0,446,120.0
2.0,2015-02-13 00:30:22,5484,burger,2.0,3,2350,3,500,800,31.0,18.0,18.0,251,470.0
5.0,2015-02-13 00:30:23,5773,chinese,4.0,3,3785,3,1095,1395,31.0,18.0,18.0,446,869.0
3.0,2015-02-13 00:30:26,5010,burger,1.0,6,4625,5,200,1000,24.0,15.0,15.0,446,775.0
4.0,2015-02-13 00:30:50,3937,salad,5.0,3,3540,3,880,1010,41.0,35.0,34.0,251,804.0
6.0,2015-02-13 00:31:07,1559,thai,5.0,2,1120,2,225,895,,,,251,516.0
4.0,2015-02-13 00:31:13,6514,other,3.0,1,1500,1,1150,1150,27.0,19.0,19.0,251,487.0
6.0,2015-02-13 00:31:14,476,sandwich,2.0,2,1732,2,857,875,,,,251,751.0
1.0,2015-02-13 00:31:28,3642,vegetarian,3.0,5,3050,5,400,900,15.0,13.0,23.0,251,806.0
3.0,2015-02-13 00:31:30,5200,pizza,5.0,2,1800,1,750,750,24.0,15.0,15.0,251,798.0
5.0,2015-02-13 00:31:35,6693,chinese,4.0,2,900,2,190,710,15.0,5.0,5.0,251,803.0
5.0,2015-02-13 00:31:35,1378,pizza,1.0,1,1380,1,1125,1125,18.0,14.0,16.0,446,514.0
6.0,2015-02-13 00:31:37,6207,american,3.0,3,2233,3,516,770,,,,251,966.0
2.0,2015-02-13 00:31:41,713,pizza,1.0,3,2769,3,575,1399,38.0,34.0,39.0,446,528.0
4.0,2015-02-13 00:31:51,1409,vietnamese,5.0,3,2035,2,595,795,29.0,17.0,15.0,251,486.0
1.0,2015-02-13 00:31:58,6486,dessert,1.0,8,7615,8,295,1695,18.0,16.0,16.0,446,710.0
1.0,2015-02-13 00:32:12,591,chinese,2.0,2,1142,2,160,942,5.0,5.0,3.0,251,368.0
1.0,2015-02-13 00:32:25,944,smoothie,3.0,3,990,3,200,410,15.0,13.0,23.0,251,475.0
2.0,2015-02-13 00:32:36,1914,burger,4.0,5,2625,4,275,600,31.0,18.0,18.0,251,243.0
4.0,2015-02-13 00:32:40,2407,dessert,3.0,3,697,3,169,329,38.0,34.0,39.0,251,311.0
2.0,2015-02-13 00:32:47,4084,filipino,5.0,1,1195,1,1195,1195,31.0,18.0,18.0,251,401.0
2.0,2015-02-13 00:32:58,6884,burger,5.0,1,1050,1,1050,1050,31.0,18.0,18.0,251,675.0
4.0,2015-02-13 00:33:12,1853,mexican,3.0,2,545,2,150,395,27.0,19.0,19.0,251,792.0
5.0,2015-02-13 00:33:28,4713,vietnamese,1.0,3,2055,3,308,997,22.0,21.0,25.0,446,473.0
4.0,2015-02-13 00:33:32,5993,italian,2.0,1,1700,1,1700,1700,41.0,35.0,34.0,251,943.0
4.0,2015-02-13 00:33:39,1336,fast,2.0,2,2350,2,1100,1100,14.0,8.0,7.0,251,589.0
1.0,2015-02-13 00:33:41,5357,japanese,1.0,11,3145,4,125,795,5.0,3.0,3.0,446,812.0
1.0,2015-02-13 00:33:44,5104,chinese,5.0,7,4772,5,77,1004,2.0,5.0,9.0,251,487.0
1.0,2015-02-13 00:33:45,6496,fast,4.0,1,599,1,599,599,18.0,16.0,16.0,251,356.0
1.0,2015-02-13 00:33:49,5560,japanese,3.0,3,3045,3,525,1295,18.0,16.0,16.0,251,523.0
3.0,2015-02-13 00:34:07,1331,chinese,1.0,2,1917,2,859,859,3.0,2.0,2.0,446,354.0
5.0,2015-02-13 00:34:11,5362,american,1.0,4,4046,4,599,1199,18.0,14.0,16.0,446,514.0
1.0,2015-02-13 00:34:18,2343,thai,1.0,4,3047,4,699,799,5.0,4.0,5.0,446,612.0
3.0,2015-02-13 00:34:24,1326,american,5.0,1,4629,1,4629,4629,24.0,15.0,15.0,251,237.0
4.0,2015-02-13 00:34:26,1332,hawaiian,3.0,2,2190,1,1095,1095,29.0,17.0,15.0,251,669.0
4.0,2015-02-13 00:34:37,6323,vietnamese,2.0,3,2445,2,750,945,41.0,35.0,34.0,251,799.0
1.0,2015-02-13 00:34:44,5090,burger,2.0,2,2730,1,776,856,20.0,21.0,39.0,251,612.0
4.0,2015-02-13 00:34:57,2056,chinese,3.0,7,5090,7,175,895,29.0,17.0,15.0,251,526.0
2.0,2015-02-13 00:34:58,3813,greek,5.0,3,2396,3,99,1199,38.0,34.0,39.0,251,627.0
3.0,2015-02-13 00:35:10,2892,american,1.0,2,2550,2,1050,1200,4.0,4.0,5.0,446,821.0
5.0,2015-02-13 00:35:11,2049,pizza,5.0,1,3095,1,1640,1640,9.0,9.0,11.0,251,753.0
2.0,2015-02-13 00:35:18,6976,pizza,2.0,2,2958,2,1479,1479,39.0,38.0,47.0,251,641.0
4.0,2015-02-13 00:35:27,4998,pizza,5.0,2,4700,2,1200,1800,43.0,39.0,43.0,251,614.0
4.0,2015-02-13 00:35:35,558,seafood,5.0,5,3950,4,400,1550,31.0,21.0,22.0,251,621.0
4.0,2015-02-13 00:35:40,355,burger,5.0,2,918,2,409,509,39.0,38.0,47.0,251,680.0
1.0,2015-02-13 00:35:50,714,seafood,1.0,1,899,1,899,899,17.0,17.0,18.0,446,413.0
4.0,2015-02-13 00:35:51,5152,breakfast,2.0,7,3045,3,325,1095,43.0,39.0,43.0,251,300.0
4.0,2015-02-13 00:36:08,5797,asian,2.0,3,1350,2,400,450,43.0,39.0,43.0,251,719.0
2.0,2015-02-13 00:36:19,389,american,1.0,1,1229,1,1099,1099,39.0,38.0,47.0,446,601.0
5.0,2015-02-13 00:36:23,1378,pizza,1.0,1,2335,1,2335,2335,20.0,15.0,17.0,446,385.0
2.0,2015-02-13 00:36:37,408,italian,5.0,3,3550,3,750,1450,34.0,26.0,27.0,251,251.0
2.0,2015-02-13 00:36:40,1240,american,4.0,4,2018,3,174,570,34.0,26.0,27.0,251,597.0
4.0,2015-02-13 00:36:45,1409,vietnamese,5.0,5,2375,4,165,795,32.0,17.0,18.0,251,300.0
1.0,2015-02-13 00:36:45,2438,pizza,3.0,3,3377,3,499,1399,17.0,17.0,18.0,251,560.0
4.0,2015-02-13 00:36:50,6797,american,1.0,1,2598,1,2499,2499,31.0,21.0,22.0,446,713.0
4.0,2015-02-13 00:36:57,3226,italian,5.0,3,4350,3,1000,1850,31.0,21.0,22.0,251,694.0
6.0,2015-02-13 00:36:58,6959,italian,3.0,2,4598,2,1699,2899,,,,251,598.0
2.0,2015-02-13 00:37:23,6865,burger,4.0,5,2545,5,199,699,39.0,38.0,47.0,251,403.0
4.0,2015-02-13 00:37:24,5178,mediterranean,3.0,4,2915,4,250,995,32.0,17.0,18.0,251,140.0
4.0,2015-02-13 00:37:45,6155,pizza,3.0,3,4700,2,1000,2700,43.0,39.0,43.0,251,1043.0
4.0,2015-02-13 00:37:45,3937,salad,5.0,2,1650,2,770,880,43.0,39.0,43.0,251,843.0
5.0,2015-02-13 00:37:53,5796,mediterranean,2.0,2,1398,2,649,749,13.0,10.0,10.0,251,887.0
1.0,2015-02-13 00:37:55,2169,indian,3.0,10,5605,7,275,995,16.0,15.0,23.0,251,288.0
5.0,2015-02-13 00:38:00,2660,mediterranean,3.0,2,3240,2,850,995,13.0,10.0,10.0,251,344.0
5.0,2015-02-13 00:38:03,2388,american,1.0,6,2204,4,79,1619,20.0,15.0,17.0,446,297.0
2.0,2015-02-13 00:38:05,2857,pizza,3.0,2,2945,2,1335,1450,34.0,26.0,27.0,251,686.0
5.0,2015-02-13 00:38:09,5221,vietnamese,1.0,2,1674,2,725,849,15.0,8.0,8.0,446,746.0
